avg_pts_last3,avg_pts_last5,form_trend,avg_minutes_last3,avg_xgi_last3,avg_ict_last3,avg_bps_last3,is_home,value,avg_fixture_difficulty,player_id,predicted_pts,id,web_name,element_type,now_cost,team,position,is_starter
4.333333333333333,4.4,-0.06666666666666732,90.0,0.10000000000000002,4.133333333333333,21.0,0,71,3.0,5,5.0829074433676515,5,Gabriel,2,71,1,DEF,True
5.0,4.4,0.5999999999999996,90.0,0.17666666666666667,2.900000000000001,17.333333333333332,0,45,2.3333333333333335,74,4.024365181211701,74,Truffert,2,45,4,DEF,True
11.333333333333334,8.6,2.7333333333333343,80.0,1.57,12.0,37.0,1,106,3.3333333333333335,235,8.431136326608424,235,Palmer,3,106,7,MID,True
1.6666666666666667,2.2,-0.5333333333333334,60.0,0.43666666666666654,4.066666666666667,10.0,1,70,3.3333333333333335,236,4.4568250791911135,236,Neto,3,70,7,MID,True
9.333333333333334,9.6,-0.2666666666666657,69.66666666666667,0.62,8.033333333333331,31.666666666666668,1,77,3.3333333333333335,249,3.9318521175596164,249,João Pedro,4,77,7,FWD,True
4.333333333333333,3.8,0.5333333333333332,90.0,0.25999999999999995,5.3999999999999995,17.333333333333332,1,52,2.6666666666666665,260,3.9440172788212124,260,Guéhi,2,52,13,DEF,True
1.6666666666666667,3.6,-1.9333333333333333,90.0,0.0033333333333333335,2.133333333333333,9.333333333333334,1,56,2.6666666666666665,287,3.8408588113191406,287,Pickford,1,56,9,GK,True
7.0,4.8,2.2,75.0,0.71,9.600000000000001,27.0,1,148,2.6666666666666665,430,4.895970294086938,430,Haaland,4,148,13,FWD,True
4.666666666666667,5.4,-0.7333333333333334,71.66666666666667,0.12,3.9666666666666663,15.0,0,81,3.3333333333333335,450,4.377257458660337,450,Cunha,3,81,14,MID,True
1.0,2.6,-1.6,90.0,0.0,1.7666666666666664,6.333333333333333,0,40,3.3333333333333335,470,2.2005334903777336,470,Dúbravka,1,40,3,GK,False
3.3333333333333335,5.2,-1.8666666666666667,90.0,0.13,3.1999999999999997,15.333333333333334,1,47,3.6666666666666665,507,3.7100050595018343,507,Aina,2,47,16,DEF,True
4.333333333333333,2.8,1.5333333333333332,90.0,0.11,4.433333333333334,16.333333333333332,1,38,2.6666666666666665,541,3.4722098282480283,541,Reinildo,2,38,17,DEF,False
7.0,7.8,-0.7999999999999998,89.66666666666667,0.4266666666666667,7.066666666666666,26.666666666666668,1,56,3.3333333333333335,615,3.5791874270686703,615,Summerville,3,56,19,MID,False
5.0,6.4,-1.4000000000000004,90.0,0.18999999999999997,4.266666666666667,23.666666666666668,1,55,3.3333333333333335,708,5.087916553843494,708,M.Fernandes,3,55,19,MID,True
2.6666666666666665,2.6666666666666665,0.0,90.0,0.13333333333333333,2.3666666666666667,8.666666666666666,0,55,3.0,817,3.34071817574199,817,Armstrong,4,55,20,FWD,False
